link,category,price_from,price_to,similarweb_traffic,moz_da,semrush_as,ahrefs_dr_range,tat,link_attribution_type
spacecoastdaily.com,"[""Animals and Pets"", ""Business"", ""News and Media""]",164.99,164.99,201418,72,45,74,Up to 3 days,Dofollow
findthehomepros.com,"[""Construction and Repairs"", ""Real Estate""]",49.5,124.49,17332,28,29,47,Up to 7 days,Dofollow
educba.com,"[""Education"", ""Technology"", ""Internet""]",45,60,421663,58,52,76,Up to 7 days,Dofollow
forbes.com,"[""Business"", ""Finance"", ""News and Media""]",7957.75,8022.69,181216528,94,98,94,N/A,No
crispme.com,"[""Business"", ""Fashion"", ""Technology""]",26.5,29.5,2292,41,20,43,Up to 7 days,Dofollow
articlecube.com,"[""Business"", ""Home and Family"", ""Lifestyle""]",31.5,32.5,20505,51,32,69,Up to 6 days,Dofollow
businessnewstips.com,"[""Business""]",31.5,32.5,198,60,28,69,Up to 8 days,Dofollow
thehealthcareblog.com,"[""Business"", ""Finance"", ""Health""]",60,0,22612,68,39,73,Up to 8 days,Dofollow
bdcmagazine.com,"[""Construction and Repairs"", ""Equipment"", ""Real Estate""]",193.49,223.49,18437,42,33,55,N/A,Dofollow
technology.org,"[""Computers"", ""Technology"", ""Science""]",202.49,217.49,122431,61,43,72,Up to 5 days,Dofollow
healthcarebusinesstoday.com,"[""Health""]",97.5,112.49,18889,44,27,73,Up to 4 days,Dofollow
portotheme.com,"[""Technology"", ""Software development"", ""Web-development""]",75,119.99,151085,70,36,91,Up to 4 days,Dofollow
yourhealthmagazine.net,"[""Health"", ""Lifestyle""]",48,60,16517,56,29,52,Up to 7 days,Dofollow
techtimes.com,"[""Technology""]",1009.7,1074.64,341164,84,50,84,Up to 6 days,Dofollow
merchantcircle.com,"[""Business"", ""Beauty"", ""Real Estate""]",16.5,16.5,355124,78,41,85,Up to 6 days,Dofollow
otsnews.co.uk,"[""News and Media""]",66,140.99,56193,42,35,54,Up to 6 days,Dofollow
elmens.com,"[""Business"", ""For Men"", ""Law""]",45,104.99,23694,37,30,54,Up to 5 days,Dofollow
filmdaily.co,"[""Entertainment"", ""Lifestyle"", ""News and Media""]",90.75,165.74,31011,62,28,73,Up to 6 days,Dofollow
